"trial_type","trial_index","time_elapsed","internal_node_id","success","rt","stimulus","button_pressed","responses","key_press"
"pavlovia","0","4","0.0-0.0","","","","","",""
"fullscreen","1","2290","0.0-1.0","true","","","","",""
"html-button-response","2","3618","0.0-2.0","","1324.4000000059605","<p style=""text-align: justify;margin-left: 15%; margin-right:15%"">You are participating in an experiment at the Vision Lab of the Department of Cognitive Science, Central European University.  One of our main questions is what kind of representations we can create about our visual environment and how these representations influence our behavior. At our lab we use multiple methods, for example behavioral experiments and computational models. In this experiment you will observe scenes consisting of abstract shapes and answer simple questions about them. <br><br>At the beginning and throughout the experiment you will receive precise information about what to do. The experiment takes about 25 minutes in total. <br><br>The test is voluntary, and you can withdraw your participation at any time. We treat your personal information confidentially. <br>Only those people who work on this research project have access to your data. We will work with group level statistics. We will only report the results of the group in scientific publications and conferences. This research was approved by the Hungarian Psychological Research Ethics Committee.<br><br>If you have any further questions about the study, you can contact the experimenter, Beata Tunde Szabo, PhD Student. Contact: 1051 Nador u. 11. E-mail: szabo_beata-tunde@phd.ceu.edu <br><br>By pressing the button below you indicate that you read this information, found it sufficent, and you consent to participate in the experiment. <br><br> </p>","0","",""
"survey-html-form","3","5869","0.0-3.0","","2249.199999988079","","","{""Age"":""2"",""gender"":""Female"",""gender_other"":""""}",""
"html-button-response","4","8073","0.0-4.0","","2202","<p style=""text-align: justify;margin-left: 15%; margin-right:15%""> This is your practice session. You will see a checkerboard with random simple shapes appearing in different positions in the checkerboard. Your task is simply to observe the patterns so that you would be able to answer some questions about the sequence after the practice session.  The session will last for about 15 minutes.  Please, pay attention to EACH display! <br><br>Occasionally, there will be an attention check asking you to press the spacebar. ","0","",""
"vsl-grid-scene-snap","5","10089","0.0-5.0-0.0-0.0","","","[[""img/obj11.png"",""img/obj10.png"",""img/obj5.png""],[""img/obj6.png"",0,""img/obj12.png""],[0,""img/obj7.png"",0]]","","",""
"vsl-grid-scene-snap","6","13103","0.0-5.0-0.0-1.0","","","[[0,""img/obj10.png"",""img/obj5.png""],[""img/obj11.png"",""img/obj8.png"",0],[""img/obj6.png"",0,""img/obj3.png""]]","","",""
"vsl-grid-attention-check","7","15621","0.0-5.0-1.0-0.0-0.0","","1500.4000000059605","[[0,""img/square.png"",""img/square.png""],[0,""img/attention.png"",""img/square.png""],[0,""img/square.png"",""img/square.png""]]","","","32"
"html-keyboard-response","8","16635","0.0-5.0-1.0-1.0","","null"," ","","","null"
"vsl-grid-attention-check","9","18037","0.0-5.0-3.0-0.0-0.0","","1400.2000000178814","[[""img/square.png"",0,""img/square.png""],[""img/square.png"",""img/attention.png"",0],[""img/square.png"",""img/square.png"",0]]","","","32"
"html-keyboard-response","10","19051","0.0-5.0-3.0-1.0","","null"," ","","","null"
"vsl-grid-attention-check","11","22055","0.0-5.0-5.0-0.0-0.0","","null","[[0,0,""img/square.png""],[""img/square.png"",""img/attention.png"",""img/square.png""],[""img/square.png"",""img/square.png"",0]]","","","null"
"vsl-grid-attention-check","12","23092","0.0-5.0-5.0-0.1-0.1","","1035.4000000059605","[[""img/square.png"",0,""img/square.png""],[0,""img/attention.png"",0],[""img/square.png"",""img/square.png"",""img/square.png""]]","","","32"
"html-keyboard-response","13","24102","0.0-5.0-5.0-1.0","","null"," ","","","null"
