"trial_type","trial_index","time_elapsed","internal_node_id","success","rt","stimulus","button_pressed","responses","key_press","test_part","correct_response","test_number","test_scene","patternsize","true_test","correct","randomID","subject","image_switchboard","scene_order"
"pavlovia","0","4","0.0-0.0","","","","","","","","","","","","","","","","",""
"fullscreen","1","3534","0.0-1.0","true","","","","","","","","","","","","","","","",""
"html-button-response","2","6658","0.0-2.0","","3120.10000000149","<p style=""text-align: justify;margin-left: 15%; margin-right:15%"">You are participating in an experiment at the Vision Lab of the Department of Cognitive Science, Central European University.  One of our main questions is what kind of representations we can create about our visual environment and how these representations influence our behavior. At our lab we use multiple methods, for example behavioral experiments and computational models. In this experiment you will observe scenes consisting of abstract shapes and answer simple questions about them. <br><br>At the beginning and throughout the experiment you will receive precise information about what to do. The experiment takes about 20 minutes in total. <br><br>The test is voluntary, and you can withdraw your participation at any time. We treat your personal information confidentially. <br>Only those people who work on this research project have access to your data. We will work with group level statistics. We will only report the results of the group in scientific publications and conferences. This research was approved by the Hungarian Psychological Research Ethics Committee.<br><br>If you have any further questions about the study, you can contact the experimenter, Beata Tunde Szabo, PhD Student. Contact: 1051 Oct 6. utca 7. E-mail: szabo_beata-tunde@phd.ceu.edu <br><br>By pressing the button below you indicate that you read this information, found it sufficent, and you consent to participate in the experiment. <br><br> </p>","0","","","","","","","","","","","","",""
"survey-html-form","3","11738","0.0-3.0","","5079.29999999702","","","{""Age"":""26"",""gender"":""Male"",""gender_other"":""""}","","","","","","","","","","","",""
"html-button-response","4","24322","0.0-4.0","","12582.5","<p style=""text-align: justify;margin-left: 15%; margin-right:15%""> This is your practice session. You will see a checkerboard with random simple shapes appearing in different positions in the checkerboard. Your task is simply to observe the patterns so that you would be able to answer some questions about the sequence after the practice session.  The session will last for about 8 minutes.  Please, pay attention to EACH display! <br><br>Occasionally, there will be an attention check asking you to press the spacebar. ","0","","","","","","","","","","","","",""
"vsl-grid-scene-snap","5","26332","0.0-5.0-0.0-0.0","","","[[0,0,0,""img/obj4.png"",0],[0,""img/obj2.png"",""img/obj6.png"",0,0],[""img/obj9.png"",""img/obj11.png"",0,0,0],[0,""img/obj5.png"",0,0,0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","6","29335","0.0-5.0-0.0-1.0","","","[[""img/obj3.png"",0,0,0,0],[0,""img/obj10.png"",0,0,0],[0,""img/obj12.png"",""img/obj7.png"",0,0],[0,0,""img/obj1.png"",0,0],[0,""img/obj8.png"",0,0,0]]","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","7","32340","0.0-5.0-0.0-2.0","","","[[0,0,0,0,0],[0,0,""img/obj2.png"",0,0],[0,""img/obj9.png"",""img/obj3.png"",0,0],[0,0,""img/obj5.png"",""img/obj10.png"",0],[0,0,0,0,""img/obj7.png""]]","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","8","35355","0.0-5.0-0.0-3.0","","","[[0,0,0,0,0],[0,0,0,""img/obj12.png"",""img/obj2.png""],[0,0,0,""img/obj9.png"",""img/obj1.png""],[0,0,0,""img/obj8.png"",""img/obj5.png""],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","9","38374","0.0-5.0-0.0-4.0","","","[[0,0,0,0,0],[0,""img/obj3.png"",""img/obj12.png"",0,0],[0,0,""img/obj10.png"",""img/obj1.png"",0],[0,0,""img/obj8.png"",""img/obj7.png"",0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","10","41385","0.0-5.0-0.0-5.0","","","[[0,0,0,0,""img/obj4.png""],[0,0,0,""img/obj6.png"",0],[0,0,""img/obj11.png"",""img/obj2.png"",0],[0,0,""img/obj9.png"",0,0],[0,0,0,""img/obj5.png"",0]]","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","11","44399","0.0-5.0-0.0-6.0","","","[[0,""img/obj3.png"",0,0,0],[0,0,""img/obj10.png"",""img/obj2.png"",0],[0,0,""img/obj9.png"",""img/obj7.png"",0],[0,0,0,""img/obj5.png"",0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","12","47418","0.0-5.0-0.0-7.0","","","[[0,0,""img/obj2.png"",0,0],[0,""img/obj9.png"",0,0,0],[0,""img/obj3.png"",""img/obj5.png"",0,0],[0,0,""img/obj10.png"",0,0],[0,0,0,""img/obj7.png"",0]]","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","13","50445","0.0-5.0-0.0-8.0","","","[[0,0,0,0,0],[""img/obj3.png"",0,0,0,0],[0,""img/obj10.png"",""img/obj2.png"",0,0],[0,""img/obj9.png"",""img/obj7.png"",0,0],[0,0,""img/obj5.png"",0,0]]","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","14","53453","0.0-5.0-0.0-9.0","","","[[0,0,0,0,0],[0,""img/obj2.png"",""img/obj4.png"",0,0],[""img/obj9.png"",""img/obj6.png"",0,0,0],[""img/obj11.png"",""img/obj5.png"",0,0,0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","15","56470","0.0-5.0-0.0-10.0","","","[[0,""img/obj3.png"",""img/obj12.png"",0,0],[0,0,""img/obj10.png"",""img/obj1.png"",0],[0,0,""img/obj8.png"",""img/obj7.png"",0],[0,0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","16","59487","0.0-5.0-0.0-11.0","","","[[0,""img/obj3.png"",0,0,0],[0,0,""img/obj10.png"",0,0],[0,0,""img/obj12.png"",""img/obj7.png"",0],[0,0,0,""img/obj1.png"",0],[0,0,""img/obj8.png"",0,0]]","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","17","62506","0.0-5.0-0.0-12.0","","","[[0,""img/obj2.png"",0,0,0],[""img/obj9.png"",0,0,0,0],[""img/obj3.png"",""img/obj5.png"",0,0,0],[0,""img/obj10.png"",0,0,0],[0,0,""img/obj7.png"",0,0]]","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","18","65529","0.0-5.0-0.0-13.0","","","[[0,0,0,0,0],[0,0,""img/obj3.png"",0,0],[0,0,0,""img/obj10.png"",""img/obj2.png""],[0,0,0,""img/obj9.png"",""img/obj7.png""],[0,0,0,0,""img/obj5.png""]]","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","19","68547","0.0-5.0-0.0-14.0","","","[[0,0,0,0,0],[0,0,0,""img/obj4.png"",0],[0,""img/obj12.png"",""img/obj6.png"",0,0],[0,""img/obj11.png"",""img/obj1.png"",0,0],[0,""img/obj8.png"",0,0,0]]","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","20","71562","0.0-5.0-0.0-15.0","","","[[0,0,0,""img/obj12.png"",0],[0,0,0,0,""img/obj1.png""],[0,0,0,""img/obj8.png"",""img/obj4.png""],[0,0,0,""img/obj6.png"",0],[0,0,""img/obj11.png"",0,0]]","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","21","74574","0.0-5.0-0.0-16.0","","","[[0,0,0,0,0],[""img/obj3.png"",""img/obj12.png"",0,0,0],[0,""img/obj10.png"",""img/obj1.png"",0,0],[0,""img/obj8.png"",""img/obj7.png"",0,0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","22","77587","0.0-5.0-0.0-17.0","","","[[0,0,0,0,0],[0,""img/obj3.png"",""img/obj2.png"",0,0],[0,""img/obj9.png"",""img/obj10.png"",0,0],[0,0,""img/obj5.png"",""img/obj7.png"",0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","23","80612","0.0-5.0-0.0-18.0","","","[[0,0,0,0,0],[0,0,0,""img/obj4.png"",0],[0,""img/obj2.png"",""img/obj6.png"",0,0],[""img/obj9.png"",""img/obj11.png"",0,0,0],[0,""img/obj5.png"",0,0,0]]","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","24","83634","0.0-5.0-0.0-19.0","","","[[0,0,""img/obj3.png"",""img/obj2.png"",0],[0,0,""img/obj9.png"",""img/obj10.png"",0],[0,0,0,""img/obj5.png"",""img/obj7.png""],[0,0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","25","86651","0.0-5.0-0.0-20.0","","","[[0,0,0,0,0],[0,0,""img/obj2.png"",0,0],[0,""img/obj9.png"",""img/obj4.png"",0,0],[0,""img/obj6.png"",""img/obj5.png"",0,0],[""img/obj11.png"",0,0,0,0]]","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","26","89654","0.0-5.0-0.0-21.0","","","[[0,0,0,0,0],[0,0,0,0,0],[0,0,0,""img/obj2.png"",""img/obj4.png""],[0,0,""img/obj9.png"",""img/obj6.png"",0],[0,0,""img/obj11.png"",""img/obj5.png"",0]]","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","27","92672","0.0-5.0-0.0-22.0","","","[[0,0,0,0,0],[0,0,""img/obj12.png"",0,0],[0,0,""img/obj4.png"",""img/obj1.png"",0],[0,""img/obj6.png"",""img/obj8.png"",0,0],[""img/obj11.png"",0,0,0,0]]","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","28","95701","0.0-5.0-0.0-23.0","","","[[""img/obj3.png"",""img/obj2.png"",0,0,0],[""img/obj9.png"",""img/obj10.png"",0,0,0],[0,""img/obj5.png"",""img/obj7.png"",0,0],[0,0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","29","98717","0.0-5.0-0.0-24.0","","","[[0,0,0,0,0],[0,0,0,0,0],[0,0,""img/obj12.png"",""img/obj2.png"",0],[0,0,""img/obj9.png"",""img/obj1.png"",0],[0,0,""img/obj8.png"",""img/obj5.png"",0]]","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","30","101737","0.0-5.0-0.0-25.0","","","[[0,0,""img/obj2.png"",""img/obj4.png"",0],[0,""img/obj9.png"",""img/obj6.png"",0,0],[0,""img/obj11.png"",""img/obj5.png"",0,0],[0,0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","31","104752","0.0-5.0-0.0-26.0","","","[[0,0,""img/obj2.png"",0,0],[0,""img/obj9.png"",""img/obj4.png"",0,0],[0,""img/obj6.png"",""img/obj5.png"",0,0],[""img/obj11.png"",0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","32","107768","0.0-5.0-0.0-27.0","","","[[0,0,0,0,0],[0,0,0,0,""img/obj2.png""],[0,0,0,""img/obj9.png"",""img/obj4.png""],[0,0,0,""img/obj6.png"",""img/obj5.png""],[0,0,""img/obj11.png"",0,0]]","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","33","110778","0.0-5.0-0.0-28.0","","","[[0,0,0,0,0],[0,""img/obj3.png"",0,0,0],[0,0,""img/obj10.png"",""img/obj12.png"",0],[0,0,0,""img/obj7.png"",""img/obj1.png""],[0,0,0,""img/obj8.png"",0]]","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","34","113800","0.0-5.0-0.0-29.0","","","[[0,0,0,""img/obj4.png"",0],[0,""img/obj12.png"",""img/obj6.png"",0,0],[0,""img/obj11.png"",""img/obj1.png"",0,0],[0,""img/obj8.png"",0,0,0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","35","116817","0.0-5.0-0.0-30.0","","","[[0,0,""img/obj2.png"",0,0],[0,""img/obj9.png"",""img/obj3.png"",0,0],[0,0,""img/obj5.png"",""img/obj10.png"",0],[0,0,0,0,""img/obj7.png""],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","36","119830","0.0-5.0-0.0-31.0","","","[[0,0,0,0,0],[0,""img/obj3.png"",0,0,0],[0,0,""img/obj10.png"",""img/obj2.png"",0],[0,0,""img/obj9.png"",""img/obj7.png"",0],[0,0,0,""img/obj5.png"",0]]","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","37","122845","0.0-5.0-0.0-32.0","","","[[0,0,0,0,0],[0,0,""img/obj12.png"",""img/obj4.png"",0],[0,0,""img/obj6.png"",""img/obj1.png"",0],[0,""img/obj11.png"",""img/obj8.png"",0,0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","38","125865","0.0-5.0-0.0-33.0","","","[[0,0,0,0,""img/obj2.png""],[0,0,0,""img/obj9.png"",""img/obj4.png""],[0,0,0,""img/obj6.png"",""img/obj5.png""],[0,0,""img/obj11.png"",0,0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","39","128872","0.0-5.0-0.0-34.0","","","[[0,0,0,0,0],[0,0,0,0,0],[0,0,""img/obj12.png"",""img/obj4.png"",0],[0,0,""img/obj6.png"",""img/obj1.png"",0],[0,""img/obj11.png"",""img/obj8.png"",0,0]]","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","40","131896","0.0-5.0-0.0-35.0","","","[[0,""img/obj3.png"",""img/obj2.png"",0,0],[0,""img/obj9.png"",""img/obj10.png"",0,0],[0,0,""img/obj5.png"",""img/obj7.png"",0],[0,0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","41","134914","0.0-5.0-0.0-36.0","","","[[0,0,0,0,0],[0,0,0,""img/obj2.png"",""img/obj4.png""],[0,0,""img/obj9.png"",""img/obj6.png"",0],[0,0,""img/obj11.png"",""img/obj5.png"",0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
